Index,Country,Cities,DateTime,Latitude,Longitude,Weather,Humidity,Temperature,Max Temperature,Cloudiness,Wind Speed
378,BR,Pinhão,1657450124,-25.6956,-51.6597,overcast clouds,77,12.68,12.68,99,2.16
379,IE,Youghal,1657450125,51.95,-7.8506,clear sky,91,18.08,20.56,4,4.49
380,KR,Gijang,1657450125,35.2442,129.2139,broken clouds,85,28.85,28.85,68,2.45
381,UY,Rocha,1657450125,-34.4833,-54.3333,scattered clouds,95,15.75,15.75,37,4.95
382,CA,Prince Rupert,1657450125,54.3161,-130.3201,light rain,99,13.04,13.05,75,9.26
383,AU,Port Hedland,1657450125,-20.3167,118.5667,clear sky,59,16.03,16.03,0,0
384,TH,Ban Tak,1657450125,17.0432,99.0813,overcast clouds,85,25.76,25.76,95,3.51
385,CN,Linxia Chengguanzhen,1657450125,35.6003,103.2064,overcast clouds,56,26.34,26.34,100,4.65
386,EG,Marsá Maţrūḩ,1657450125,31.3525,27.2453,scattered clouds,61,29.11,29.11,40,7.2
387,US,Hamilton,1657450125,39.1834,-84.5333,clear sky,77,16.25,17.47,0,4.12
388,RU,Andra,1657450125,62.5147,65.8878,overcast clouds,41,26.87,26.87,93,4.52
389,ZM,Kalabo,1657450125,-14.97,22.6814,clear sky,25,26.94,26.94,1,2.16
390,SE,Boden,1657450125,65.8252,21.6886,moderate rain,75,16,16,99,1.44
391,CA,Esterhazy,1657450126,50.65,-102.0843,moderate rain,66,17.47,17.47,94,3.55
392,US,Beckley,1657450126,37.7782,-81.1882,overcast clouds,99,17.15,17.95,100,2.57
393,BR,Imbituva,1657450126,-25.23,-50.6044,broken clouds,82,11.86,11.86,81,0.47
394,ZA,Plettenberg Bay,1657449909,-34.0527,23.3716,light rain,65,16.44,16.44,100,2.33
395,US,Kahului,1657450126,20.8947,-156.47,clear sky,80,25.17,25.47,0,7.72
396,CL,Ancud,1657450126,-41.8697,-73.8203,light rain,91,5.13,5.13,100,5.85
397,GL,Paamiut,1657450126,61.994,-49.6678,scattered clouds,91,4.42,4.42,46,8.65
398,NZ,Dunedin,1657450126,-45.8742,170.5036,scattered clouds,72,6,6,39,2.09
399,MG,Morondava,1657450126,-20.2833,44.2833,clear sky,43,26.04,26.04,0,5.14
400,RU,Aleksandrov Gay,1657450126,50.147,48.5704,few clouds,20,33.78,33.78,23,4.15
401,FI,Kajaani,1657450126,64.2273,27.7285,broken clouds,64,20.03,20.03,75,3.6
402,JP,Obama,1657450126,35.4958,135.746,scattered clouds,93,26.64,26.64,32,0.81
403,MG,Moramanga,1657450126,-18.9333,48.2,light rain,83,15.78,15.78,91,3.52
404,RU,Kovdor,1657450127,67.5662,30.4758,overcast clouds,75,16.4,16.4,100,3.96
405,PE,Huarmey,1657450127,-10.0681,-78.1522,broken clouds,90,15.94,15.94,59,4.07
406,IS,Olafsvik,1657450127,64.8945,-23.7142,overcast clouds,92,10.66,10.66,100,7.21
407,NA,Bethanien,1657450127,-26.502,17.1583,scattered clouds,43,13.44,13.44,47,5.05
408,CA,Chute-aux-Outardes,1657450127,49.1168,-68.399,clear sky,76,10.99,10.99,0,2.57
409,PK,Kalabagh,1657450127,32.965,71.557,broken clouds,53,34.62,34.62,76,3.94
410,CL,Antofagasta,1657449974,-23.65,-70.4,overcast clouds,79,13.6,13.6,100,0.9
411,CN,Dongsheng,1657450127,39.8161,109.9776,clear sky,26,26.7,26.7,9,5.35
412,BR,Vila Velha,1657450070,-20.3297,-40.2925,broken clouds,98,19.97,19.97,75,1.03
413,MX,Barra de Tecoanapa,1657450127,16.5167,-98.75,overcast clouds,82,25.11,25.11,100,0.64
414,IQ,Dahuk,1657450127,36.8695,42.994,clear sky,12,40.54,40.54,0,5.5
415,AU,Alice Springs,1657450127,-23.7,133.8833,clear sky,42,7.75,7.75,0,3.09
416,RS,Topola,1657450127,44.2542,20.6825,broken clouds,31,22.6,22.6,63,6.79
417,NO,Hellvik,1657450127,59.9156,5.781,broken clouds,72,15.93,15.98,53,1.34
418,BR,Autazes,1657449853,-3.5797,-59.1306,broken clouds,86,23.26,23.26,79,0.85
419,GR,Karpathos,1657450128,35.507,27.2132,scattered clouds,65,25.98,25.98,40,10.8
420,US,Lompoc,1657450128,34.6391,-120.4579,mist,93,13.68,14.18,100,2.57
421,IT,Melfi,1657450128,40.9965,15.6514,clear sky,30,25.83,25.83,3,7.55
422,ID,Barabai,1657450128,-2.5833,115.3833,broken clouds,95,24.59,24.59,68,0.26
423,PG,Kavieng,1657450128,-2.5744,150.7967,overcast clouds,75,28.05,28.05,100,6.55
424,BB,Bathsheba,1657450128,13.2167,-59.5167,scattered clouds,91,27.81,28.34,40,9.26
425,RU,Svobodnyy,1657450128,51.4,128.1333,broken clouds,65,20.95,20.95,52,5.42
426,UA,Murovani Kurylivtsi,1657450128,48.7235,27.5189,broken clouds,30,24.93,24.93,51,5.76
427,CN,Shenjiamen,1657450128,29.9576,122.298,broken clouds,95,25.44,25.44,51,4.41
428,SS,Raja,1657450129,8.4596,25.678,overcast clouds,50,30.17,30.17,87,3.05
429,AF,Herat Province,1657450129,34.5,62,clear sky,12,33.46,33.46,0,13.49
430,US,Forest Hills,1657450129,42.9595,-85.4898,few clouds,88,11.06,12.87,20,1.54
431,CA,Clyde River,1657450129,70.4692,-68.5914,clear sky,81,5.13,5.13,0,1.54
432,ES,Zaragoza,1657450129,41.6561,-0.8773,clear sky,37,29.31,30.25,0,3.6
433,GB,Whitehaven,1657450129,54.549,-3.5841,scattered clouds,84,16.55,16.55,41,3.14
434,UZ,Yangi Marg`ilon,1657450129,40.4272,71.7189,scattered clouds,15,33.4,33.4,26,4.12
435,CO,Cravo Norte,1657450129,6.3017,-70.2041,moderate rain,93,22.55,22.55,93,1.91
436,BR,Soure,1657450129,-0.7167,-48.5233,scattered clouds,82,26.41,26.41,44,2.99
437,JM,Morant Bay,1657450129,17.8815,-76.4093,overcast clouds,83,26.79,26.79,100,4.9
438,UA,Markova,1657450129,48.6758,24.4138,overcast clouds,62,18.13,18.13,96,2.91
439,MV,Mahibadhoo,1657450129,3.7833,72.9667,light rain,75,27.98,27.98,99,5.73
440,CA,Inuvik,1657450130,68.3499,-133.7218,mist,96,11.45,11.48,100,2.06
441,MX,San Quintín,1657450130,30.4833,-115.95,few clouds,90,18.72,18.72,15,4.47
442,CN,Dingzhou,1657450130,38.5131,114.9956,broken clouds,60,25.06,25.06,77,1.31
443,GT,Ocós,1657450130,14.5094,-92.1933,few clouds,83,24.83,24.83,18,2
444,IS,Husavik,1657450130,66.0449,-17.3389,overcast clouds,74,13.54,13.54,100,1.44
445,BR,Campanha,1657450130,-21.8361,-45.4006,scattered clouds,76,13.67,13.67,35,1.45
446,AU,Flinders,1657450130,-34.5833,150.8552,broken clouds,89,11.54,12.32,83,2.68
447,MU,Bambous Virieux,1657450130,-20.3428,57.7575,scattered clouds,56,23.14,23.45,40,7.2
448,GL,Qasigiannguit,1657450130,68.8193,-51.1922,overcast clouds,86,4.14,4.14,97,1.3
449,AU,Port Lincoln,1657450130,-34.7333,135.8667,broken clouds,57,12.22,12.22,60,6.61
450,AU,Yulara,1657450130,-25.2406,130.9889,clear sky,31,12.05,12.05,0,3.13
451,IS,Grindavik,1657450071,63.8424,-22.4338,overcast clouds,100,10.26,11.97,100,6.69
452,GT,Colomba,1657450130,14.7167,-91.7333,few clouds,95,19.06,19.6,11,3.1
453,NZ,Takaka,1657450131,-40.85,172.8,overcast clouds,80,9.75,9.75,95,3.39
454,CA,Toronto,1657449881,43.7001,-79.4163,clear sky,79,13.81,15.14,0,3.6
455,MR,Atar,1657450131,20.5169,-13.0499,clear sky,23,36.78,36.78,0,2.67
456,BG,Dalgopol,1657450131,43.05,27.35,overcast clouds,25,29.87,30.06,91,6.02
457,PF,Teahupoo,1657450131,-17.8333,-149.2667,overcast clouds,76,19.98,19.98,94,8.53
458,CF,Birao,1657450131,10.2849,22.7882,overcast clouds,59,28.67,28.67,98,2.78
459,ID,Tanete,1657450131,-3.9443,119.7848,overcast clouds,90,25.15,25.15,100,3.75
460,US,Rincon,1657450131,32.296,-81.2354,broken clouds,97,22.87,25.48,75,1.54
461,GB,Strathpeffer,1657450131,57.588,-4.5382,broken clouds,55,23.11,23.39,53,2.77
462,RU,Tsimmerbude,1657450131,54.675,20.1347,light rain,65,14.03,14.03,59,6.47
463,NO,Tromsø,1657449923,69.6496,18.957,few clouds,67,15.01,15.01,20,3.6
464,SO,Qandala,1657450131,11.472,49.8728,broken clouds,40,34.78,34.78,52,5.95
465,RU,Arman',1657450131,59.7,150.1667,clear sky,80,21.12,21.12,2,1.51
466,ID,Kendari,1657450131,-3.945,122.4989,light rain,91,24.34,24.34,53,1.3
467,RU,Sovetskiy,1657450131,61.3614,63.5842,few clouds,30,29.7,29.7,12,3.63
468,PG,Namatanai,1657450132,-3.6667,152.4333,broken clouds,77,26.38,26.38,53,3.73
469,RU,Bayanday,1657450132,53.0661,105.5139,broken clouds,56,17.67,17.67,84,2.12
470,ZA,Kruisfontein,1657450132,-34.0033,24.7314,light rain,78,15.49,15.49,93,3.56
471,GH,Takoradze,1657450132,4.8845,-1.7554,overcast clouds,72,26.33,26.33,100,4.59
472,SB,Auki,1657450132,-8.7676,160.7034,broken clouds,88,24.9,24.9,83,1.98
473,ID,Sungai Penuh,1657450132,-2.0833,101.3833,overcast clouds,97,19.11,19.11,87,0.74
474,ES,Reinosa,1657450132,42.9996,-4.138,clear sky,23,23.59,23.59,0,2.35
475,BR,Ladário,1657450132,-19.0047,-57.6017,scattered clouds,63,20.88,20.88,28,1.13
476,GB,Newport,1657449977,51.5877,-2.9984,few clouds,58,22.91,25.43,21,0.59
477,CA,Ferme-Neuve,1657450132,46.7001,-75.4493,clear sky,85,12.01,12.01,4,0.47
478,NA,Aranos,1657450132,-24.1333,19.1167,clear sky,22,16.76,16.76,1,4.78
479,SO,Hobyo,1657450132,5.3505,48.5268,scattered clouds,64,27.11,27.11,33,14.32
480,RU,Katangli,1657450132,51.7102,143.2326,scattered clouds,88,18.56,18.56,37,2.02
481,BR,Morros,1657450132,-9.4467,-46.3003,clear sky,63,20.8,20.8,8,5.78
482,CU,Aguada de Pasajeros,1657450133,22.385,-80.8508,few clouds,90,23.26,23.26,13,1.7
483,UZ,Almazar,1657450133,40.3217,69.0106,clear sky,15,35.52,35.52,3,4.28
484,RU,Kungurtug,1657450133,50.5994,97.5228,overcast clouds,43,19.53,19.53,97,2.01
485,ES,Bereda,1657450133,43.2686,-7.5406,clear sky,26,33.56,33.56,0,0.43
486,SD,Wagar,1657450133,16.1525,36.2032,overcast clouds,42,32.14,32.14,92,7.69
487,KZ,Emba,1657450133,48.8264,58.1442,broken clouds,31,28.71,28.71,56,5.86
488,PG,Ialibu,1657450133,-6.2821,143.9935,overcast clouds,98,14.96,14.96,96,0.18
489,CN,Aksu,1657450133,41.1231,80.2644,few clouds,12,34.82,34.82,12,2.84
490,BJ,Aplahoué,1657450133,6.9333,1.6833,overcast clouds,66,27.75,27.75,100,3.98
491,RU,Karpogory,1657450133,64.0019,44.4451,broken clouds,27,27.34,27.34,73,2.38
492,NZ,Ahipara,1657450133,-35.1667,173.1667,overcast clouds,77,13.89,13.89,100,2.41
493,OM,Sur,1657449945,22.5667,59.5289,light rain,66,31.91,31.91,91,1.9
494,BR,Poconé,1657450041,-16.2567,-56.6228,scattered clouds,50,22.05,22.05,25,2.23
495,RU,Pangody,1657450134,65.85,74.4859,broken clouds,34,22.96,22.96,51,6.23
496,PG,Kieta,1657450134,-6.2167,155.6333,broken clouds,80,25.73,25.73,53,2.83
497,ID,Meulaboh,1657450134,4.1363,96.1285,heavy intensity rain,76,27.77,27.77,97,2.41
498,AU,Karratha,1657450134,-20.7377,116.8463,clear sky,39,19.88,19.88,0,2.62
499,GF,Kourou,1657450134,5.1552,-52.6478,overcast clouds,91,25.06,25.06,95,0.76
500,RU,Mil'kovo,1657450134,54.7167,158.6167,broken clouds,73,24.74,24.74,74,1.51
501,US,Winnemucca,1657450134,40.973,-117.7357,clear sky,35,13.03,13.03,0,0
502,TO,Neiafu,1657450134,-18.65,-173.9833,broken clouds,79,25.79,25.79,69,10.39
503,AO,Caxito,1657450134,-8.5785,13.6643,overcast clouds,53,27.68,27.68,97,1.47
504,JP,Fukuechō,1657450135,32.6881,128.8419,broken clouds,78,28.2,28.2,75,1.03
505,KZ,Būlaevo,1657450135,54.9056,70.4439,overcast clouds,53,26.27,26.27,97,5.08
506,BY,Forsytheganj,1657450135,52.6333,29.7333,overcast clouds,79,17.55,17.55,98,4.81
507,NI,Puerto Cabezas,1657450135,14.0351,-83.3888,overcast clouds,91,24.86,24.86,99,3.76
508,RU,Vostochnyy,1657450135,55.8167,37.8667,broken clouds,49,27.57,28.61,84,5.64
509,SB,Gizo Government Station,1657450135,-8.103,156.8419,overcast clouds,70,27.58,27.58,99,1.89
510,US,Scottsbluff,1657450135,41.8666,-103.6672,clear sky,42,24.56,27.1,0,5.14
511,DZ,Algiers,1657449940,36.7525,3.042,clear sky,54,27.9,27.9,0,5.14
512,UG,Kotido,1657450135,2.9806,34.1331,light rain,53,25.15,25.15,75,2.01
513,RU,Yar-Sale,1657450135,66.8333,70.8333,broken clouds,52,19.62,19.62,77,5.02
514,CA,Dauphin,1657450135,51.1494,-100.0502,scattered clouds,100,21.08,21.08,40,4.12
515,PE,Acarí,1657450135,-15.4311,-74.6158,overcast clouds,77,17.22,17.22,89,1.42
516,MV,Ugoofaaru,1657450135,5.6667,73,heavy intensity rain,75,27.77,27.77,100,8.32
517,MX,Pochutla,1657450136,15.7432,-96.4661,few clouds,83,23.79,23.79,24,2.08
518,EG,Safaga,1657450136,26.7292,33.9365,scattered clouds,41,33.07,33.07,26,8.42
519,RU,Karymskoye,1657450136,51.6167,114.35,broken clouds,42,21.47,21.47,56,4.7
520,RU,Teya,1657450136,60.3778,92.6267,broken clouds,40,25.92,25.92,80,4.82
521,GR,Perama,1657450136,37.9757,23.5828,scattered clouds,44,27.29,29.38,40,6.17
522,PR,Guánica,1657450136,17.9716,-66.908,overcast clouds,84,25.35,26.7,99,3.2
523,AO,Ondjiva,1657450137,-17.0667,15.7333,clear sky,21,27.21,27.21,2,1.24
524,US,Muskegon,1657450137,43.3,-86.1334,few clouds,81,11.15,13.27,20,1.54
525,TR,Trabzon Province,1657449987,40.9167,39.8333,broken clouds,83,21.05,21.05,75,4.63
526,US,Granger,1657450137,41.7481,-86.1257,clear sky,94,12.66,14.91,0,2.57
527,CA,Moose Factory,1657450137,51.2585,-80.6094,clear sky,71,12.99,13,0,4.63
528,RU,Vizinga,1657450137,61.0749,50.1031,broken clouds,36,28.59,28.59,59,2.28
529,FR,Arrondissement de Cognac,1657449912,45.5,-0.25,clear sky,47,27.36,28.14,0,6.17
530,ZA,Christiana,1657450137,-27.914,25.1611,few clouds,30,18.61,18.61,13,11.45
531,ID,Banjarmasin,1657450081,-3.3244,114.591,broken clouds,93,28.08,28.08,76,1.23
532,CN,Altay,1657450138,47.8667,88.1167,overcast clouds,42,22.96,22.96,86,3.04
533,CN,Jiangyou,1657450138,31.7667,104.7167,overcast clouds,85,27.42,27.42,88,1.92
534,CL,Vilcún,1657450138,-38.65,-72.2333,overcast clouds,89,3.41,3.41,86,3.35
535,SS,Wau,1657450138,7.7029,27.9953,light rain,76,27.07,27.07,100,2.48
536,GL,Ilulissat,1657450138,69.2167,-51.1,mist,100,4.01,4.01,100,1.54
537,FI,Kemijärvi,1657449908,66.7131,27.4306,overcast clouds,92,15.49,15.49,100,2.67
538,CZ,Blatná,1657449961,49.4249,13.8818,overcast clouds,63,14.54,16.83,94,4.77
539,BR,Januária,1657450138,-15.4833,-44.3667,clear sky,67,19.91,19.91,0,3.64
540,US,Safford,1657450139,32.834,-109.7076,clear sky,78,22.51,23.4,0,3.6
541,JP,Shizunai-furukawachō,1657449974,42.3339,142.3669,overcast clouds,91,19.57,19.57,91,3.35
542,PT,Seara,1657450139,41.1818,-7.8003,clear sky,17,35.27,35.27,0,1.74
543,CD,Tshikapa,1657450139,-6.4167,20.8,broken clouds,15,36.2,36.2,52,1.73
544,BO,Montero,1657450139,-17.3333,-63.25,scattered clouds,59,23.5,23.5,35,4.69
545,TM,Bereket,1657450139,39.2446,55.5154,clear sky,11,38.38,38.38,0,7.02
546,BR,Coari,1657450139,-4.085,-63.1414,broken clouds,97,22.36,22.36,78,0.82
547,RU,Zhigansk,1657450139,66.7697,123.3711,overcast clouds,51,17.66,17.66,100,0.29
548,IT,Oga,1657450139,46.4631,10.347,few clouds,42,15.72,23.78,11,3.34
549,CU,Yara,1657450140,20.2753,-76.9533,overcast clouds,90,23.51,23.51,89,1.01
550,CA,Témiscaming,1657450140,46.7212,-79.0971,scattered clouds,94,12.73,13.75,37,1.54
551,CV,São Filipe,1657450140,14.8961,-24.4956,scattered clouds,80,23.84,23.84,45,2.02
552,EG,Maţāy,1657450140,28.419,30.7792,clear sky,19,37.51,37.51,3,5.29
553,CA,Aklavik,1657450140,68.2191,-135.0107,broken clouds,90,6.75,6.75,75,6.16
554,GB,Macduff,1657450140,57.6701,-2.4969,scattered clouds,79,23.21,24.2,32,4.64
555,US,Billings Metropolitan Area,1657450140,45.7833,-108.5007,clear sky,73,16.44,17.87,0,0.45
556,CM,Sangmélima,1657450140,2.9333,11.9833,broken clouds,60,26.83,26.83,51,2.34
557,BR,Canindé,1657450140,-4.3589,-39.3117,few clouds,74,24.27,24.27,21,4.99
558,CU,Santa Cruz del Sur,1657450140,20.7147,-77.9956,few clouds,90,24.58,24.58,24,3.53
559,GB,Lerwick,1657450140,60.1545,-1.1494,overcast clouds,97,12,12,100,6.1
560,US,Saint Anthony,1657450141,45.0205,-93.218,broken clouds,70,20.55,21.96,75,4.63
561,NZ,Tuatapere,1657450141,-46.1333,167.6833,few clouds,92,1.85,1.85,13,1.91
562,CA,Iqaluit,1657450141,63.7506,-68.5145,mist,93,2.61,2.85,100,2.06
563,AU,Kununurra,1657449845,-15.7667,128.7333,few clouds,63,15.99,15.99,24,1.54
564,GL,Maniitsoq,1657450141,65.4167,-52.9,overcast clouds,90,4.01,4.01,100,2.49
565,IR,Dārāb,1657450141,28.7519,54.5444,clear sky,21,40,40,9,4.87
566,ID,Tambun,1657450141,-6.2641,107.0712,broken clouds,68,28.94,28.94,75,3.19
567,US,Ceres,1657450141,37.5949,-120.9577,clear sky,75,18.13,18.36,0,2.83
568,JP,Saga,1657450141,33.2493,130.2988,broken clouds,55,30.16,30.58,75,4.12
